client_id,quantity,price,date,message_id,recommended_by
1515915625803894158,1,8943.0,2023-10-11,1515915625935652010-16166-6525589bca68f,bulk_message
1515915625803894158,1,46369.0,2023-10-11,1515915625935652010-16166-6525589bca68f,bulk_message
1515915625803894158,1,4666.0,2023-10-11,1515915625935652010-16166-6525589bca68f,bulk_message
1515915625803894158,1,11963.0,2023-10-11,1515915625935652010-16166-6525589bca68f,bulk_message
1515915625803894158,1,13107.0,2023-10-11,1515915625935652010-16166-6525589bca68f,bulk_message
1515915625803894158,1,21253.0,2023-10-11,1515915625935652010-16166-6525589bca68f,bulk_message
1515915625803894158,1,23041.0,2023-10-11,1515915625935652010-16166-6525589bca68f,bulk_message
1515915625803894158,1,10990.0,2023-10-11,1515915625935652010-16166-6525589bca68f,bulk_message
1515915625803894158,1,22875.0,2023-10-11,1515915625935652010-16166-6525589bca68f,bulk_message
1515915625803894158,1,10068.0,2023-10-11,1515915625935652010-16166-6525589bca68f,bulk_message
1515915625803894158,1,30437.0,2023-10-11,1515915625935652010-16166-6525589bca68f,bulk_message
1515915625803894158,1,15884.0,2023-10-11,1515915625935652010-16166-6525589bca68f,bulk_message
1515915625803894158,1,73344.0,2023-10-11,1515915625935652010-16166-6525589bca68f,bulk_message
1515915625803894158,1,14802.0,2023-10-11,1515915625935652010-16166-6525589bca68f,bulk_message
1515915625803894158,1,14802.0,2023-10-11,1515915625935652010-16166-6525589bca68f,bulk_message
1515915625803894158,1,6778.0,2023-10-11,1515915625935652010-16166-6525589bca68f,bulk_message
1515915625803894158,1,6778.0,2023-10-11,1515915625935652010-16166-6525589bca68f,bulk_message
1515915625803894158,1,8012.0,2023-10-11,1515915625935652010-16166-6525589bca68f,bulk_message
1515915625803894158,1,25296.0,2023-10-11,1515915625935652010-16166-6525589bca68f,bulk_message
1515915625803894158,1,5790.0,2023-10-11,1515915625935652010-16166-6525589bca68f,bulk_message
1515915625803894158,1,5790.0,2023-10-11,1515915625935652010-16166-6525589bca68f,bulk_message
1515915625803894158,1,13568.0,2023-10-11,1515915625935652010-16166-6525589bca68f,bulk_message
1515915625817394282,1,30931.0,2023-10-13,1515915625817394282-16166-6525589ba1c43,bulk_message
1515915625817394282,1,15831.0,2023-10-13,1515915625817394282-16166-6525589ba1c43,bulk_message
1515915625817394282,1,27909.0,2023-10-13,1515915625817394282-16166-6525589ba1c43,bulk_message
1515915625835000620,1,4462.0,2023-10-16,1515915625835000620-16288-652d40c4b78ae,bulk_message
1515915625835001136,1,5318.0,2023-10-13,1515915625835001136-16222-65291f45c5530,bulk_message
1515915625835001905,1,13936.0,2023-10-22,1515915625835001905-16288-652d40c4b0b5d,bulk_message
1515915625835001905,1,2921.0,2023-10-22,1515915625835001905-16288-652d40c4b0b5d,bulk_message
1515915625835005573,1,110556.0,2023-10-02,1515915625835005573-15945-651ac5ef435df,bulk_message
